number,year,title,url,filename,status,bytes,error
1,2026,Don’t Drop Dropout: Optimizing Layer Sparsity for Efficient LLM Training and Inference,https://arxiv.org/pdf/2609.05275,001_2026_Don’t Drop Dropout- Optimizing Layer Sparsity for Efficient LLM Training and Inference.pdf,downloaded,1637680,
2,2026,"CASS: Nvidia to AMD Transpilation with Data, Models, and Benchmark",https://aclanthology.org/2026.acl-long.1592.pdf,"002_2026_CASS- Nvidia to AMD Transpilation with Data, Models, and Benchmark.pdf",downloaded,3896100,
3,2026,Beyond Prediction: Tail-Aware Scheduling for LLM Inference,https://arxiv.org/pdf/2606.18431,003_2026_Beyond Prediction- Tail-Aware Scheduling for LLM Inference.pdf,downloaded,919447,
4,2026,C2CServe: Leveraging NVLink-C2C for Elastic Serverless LLM Serving on MIG,https://arxiv.org/pdf/2605.19481v1,004_2026_C2CServe- Leveraging NVLink-C2C for Elastic Serverless LLM Serving on MIG.pdf,downloaded,891171,
5,2026,Cascade: Exploiting SLO-Aware Latency Budget for Fair and High Goodput LLM Inference Serving,https://arxiv.org/pdf/2608.06557v1,005_2026_Cascade- Exploiting SLO-Aware Latency Budget for Fair and High Goodput LLM Inference Serving.pdf,downloaded,4567496,
6,2026,Efficient Multi-round LLM Inference over Disaggregated Serving,https://arxiv.org/pdf/2602.14516,006_2026_Efficient Multi-round LLM Inference over Disaggregated Serving.pdf,downloaded,889895,
7,2026,Geometry-Aware Online Scheduling for LLM Serving: From Theoretical Bound to System Practice,https://arxiv.org/pdf/2606.22327,007_2026_Geometry-Aware Online Scheduling for LLM Serving- From Theoretical Bound to System Practice.pdf,downloaded,1476863,
8,2026,Large-Scale LLM Inference with Heterogeneous Workloads: Prefill-Decode Contention and Asymptotically Optimal Control,https://arxiv.org/pdf/2602.02987,008_2026_Large-Scale LLM Inference with Heterogeneous Workloads- Prefill-Decode Contention and Asymptotically Optimal Control.pdf,downloaded,1679916,
9,2026,MoEless: Efficient MoE LLM Serving via Serverless Computing,https://arxiv.org/pdf/2603.06350,009_2026_MoEless- Efficient MoE LLM Serving via Serverless Computing.pdf,downloaded,1916183,
10,2026,OpScale: Operator-level Provisioning and Autoscaling for LLM Serving,https://arxiv.org/pdf/2608.13499,010_2026_OpScale- Operator-level Provisioning and Autoscaling for LLM Serving.pdf,downloaded,1789988,
11,2026,Prefill/Decode-Aware Evaluation of LLM Inference on Emerging AI Accelerators,https://arxiv.org/pdf/2606.17104,011_2026_Prefill-Decode-Aware Evaluation of LLM Inference on Emerging AI Accelerators.pdf,downloaded,1448052,
12,2026,Scalable Joint Resource Allocation for SLO-Constrained LLM Inference in Heterogeneous GPU Clouds,https://arxiv.org/pdf/2604.07472,012_2026_Scalable Joint Resource Allocation for SLO-Constrained LLM Inference in Heterogeneous GPU Clouds.pdf,downloaded,4253837,
13,2026,FastKV: Decoupling of Context Reduction and KV Cache Compression for Prefill-Decoding Acceleration,https://aclanthology.org/2026.findings-acl.1610.pdf,013_2026_FastKV- Decoupling of Context Reduction and KV Cache Compression for Prefill-Decoding Acceleration.pdf,downloaded,1678783,
14,2026,From Bits to Chips: An LLM-based Hardware-Aware Quantization Agent for Streamlined Deployment of LLMs,https://arxiv.org/pdf/2601.03484,014_2026_From Bits to Chips- An LLM-based Hardware-Aware Quantization Agent for Streamlined Deployment of LLMs.pdf,downloaded,512571,
15,2026,InnerQ: Hardware-Aware Tuning-Free Quantization of KV Cache for Large Language Models,https://arxiv.org/pdf/2602.23200,015_2026_InnerQ- Hardware-Aware Tuning-Free Quantization of KV Cache for Large Language Models.pdf,downloaded,470289,
16,2026,Lossless but Not Free: An Empirical Anatomy of Speculative Decoding on Consumer Hardware,https://arxiv.org/pdf/2607.17283,016_2026_Lossless but Not Free- An Empirical Anatomy of Speculative Decoding on Consumer Hardware.pdf,downloaded,556367,
17,2026,ReCache: Efficient KV Cache Reuse and Compression for Tool-Augmented LLM Agents,https://arxiv.org/pdf/2608.19662v1,017_2026_ReCache- Efficient KV Cache Reuse and Compression for Tool-Augmented LLM Agents.pdf,downloaded,652503,
18,2026,The Diminishing Returns of Early-Exit Decoding in Modern LLMs,https://arxiv.org/pdf/2603.23701,018_2026_The Diminishing Returns of Early-Exit Decoding in Modern LLMs.pdf,downloaded,853900,
19,2026,TurboQuant: Online Vector Quantization with Near-optimal Distortion Rate,https://arxiv.org/pdf/2504.19874,019_2026_TurboQuant- Online Vector Quantization with Near-optimal Distortion Rate.pdf,downloaded,861881,
20,2026,"Understanding Efficiency: Quantization, Batching, and Serving Strategies in LLM Energy Use",https://arxiv.org/pdf/2601.22362,"020_2026_Understanding Efficiency- Quantization, Batching, and Serving Strategies in LLM Energy Use.pdf",downloaded,919698,
21,2026,Coordinating GPU Data Centers and Power Grid Regulation Service for Exogenous Carbon Benefits,https://arxiv.org/pdf/2601.22487,021_2026_Coordinating GPU Data Centers and Power Grid Regulation Service for Exogenous Carbon Benefits.pdf,downloaded,2754317,
22,2026,DataStates-LLM: Scalable Checkpointing for Transformer Models Using Composable State Providers,https://arxiv.org/pdf/2601.16956,022_2026_DataStates-LLM- Scalable Checkpointing for Transformer Models Using Composable State Providers.pdf,downloaded,1957017,
23,2026,KernelBench-Verified: Do LLM-Generated Kernels Actually Beat PyTorch?,https://arxiv.org/pdf/2607.16241v1,023_2026_KernelBench-Verified- Do LLM-Generated Kernels Actually Beat PyTorch-.pdf,downloaded,712496,
24,2026,LLM-PRISM: Characterizing Silent Data Corruption from Permanent GPU Faults in LLM Training,https://arxiv.org/pdf/2604.10390,024_2026_LLM-PRISM- Characterizing Silent Data Corruption from Permanent GPU Faults in LLM Training.pdf,downloaded,3335050,
25,2026,PHOENIX: Resilient LLM Training with Hot-Swapping via Zero-Overhead Checkpoint,https://arxiv.org/pdf/2607.01646,025_2026_PHOENIX- Resilient LLM Training with Hot-Swapping via Zero-Overhead Checkpoint.pdf,downloaded,1941262,
